https://f10.vcaa.vic.edu.au/copyright-statement

Learning area/Capability,Discipline/Language,Level/Band,Sequence,Pathway,Achievement standard extract,Mode,Strand,Sub-strand,Content description code,Content description stem,Content description,Elaboration stem,Elaboration
Mathematics,,Level 7,,,"students represent natural numbers in expanded form and as products of prime factors, using exponent notation. ",,,,VC2M7N02,Students learn to:,"represent natural numbers in expanded notation using powers of 10, and as products of powers of prime numbers using exponent notation",This may involve students:,"relating the sequences 10, 100, 1000, 10 000 … and $10^{1}$, $10^{2}$, $10^{3}$, $10^{4}$ …"
Mathematics,,Level 7,,,"students represent natural numbers in expanded form and as products of prime factors, using exponent notation. ",,,,VC2M7N02,Students learn to:,"represent natural numbers in expanded notation using powers of 10, and as products of powers of prime numbers using exponent notation",This may involve students:,"applying and explaining the connections between place value and expanded notations, for example, $7000=7\times 10^{3}$ and $3750=3\times 10^{3}+7\times 10^{2}+5\times 10^{1}$"
Mathematics,,Level 7,,,"students represent natural numbers in expanded form and as products of prime factors, using exponent notation. ",,,,VC2M7N02,Students learn to:,"represent natural numbers in expanded notation using powers of 10, and as products of powers of prime numbers using exponent notation",This may involve students:,"applying knowledge of factors to strategies for expressing natural numbers as products of powers of prime factors, such as repeated division by prime factors or creating factor trees, for example, $48=6\times 8=2\times 3\times 2\times 2\times 2=3^{1}\times 2^{4}=3\times 2^{4}$"
Mathematics,,Level 7,,,"students represent natural numbers in expanded form and as products of prime factors, using exponent notation. ",,,,VC2M7N02,Students learn to:,"represent natural numbers in expanded notation using powers of 10, and as products of powers of prime numbers using exponent notation",This may involve students:,"developing familiarity with the sequence 1, 2, 4, 8, 16, 32, 64, 128, 256, 512 and powers of 2; the sequence 1, 3, 9, 27, 81, 243, 729 and powers of 3; and the sequence 1, 5, 25, 125, 625 and powers of 5 "
Mathematics,,Level 7,,,"students represent natural numbers in expanded form and as products of prime factors, using exponent notation. ",,,,VC2M7N02,Students learn to:,"represent natural numbers in expanded notation using powers of 10, and as products of powers of prime numbers using exponent notation",This may involve students:,solving problems involving lowest common multiples and greatest common divisors (highest common factors) for pairs of natural numbers by comparing their prime factorisation
Mathematics,,Level 7,,,They solve problems involving squares of numbers and square roots of perfect square numbers.,,,,VC2M7N01,Students learn to:,"describe the relationship between perfect square numbers and square roots, and use squares of numbers and square roots of perfect square numbers to solve problems",This may involve students:,"investigating squares of natural numbers from one to 20, and connecting them to visual representations such as dots arranged in a square pattern"
Mathematics,,Level 7,,,They solve problems involving squares of numbers and square roots of perfect square numbers.,,,,VC2M7N01,Students learn to:,"describe the relationship between perfect square numbers and square roots, and use squares of numbers and square roots of perfect square numbers to solve problems",This may involve students:,"using the square and square root notation, and the distributive property and area diagrams, to calculate the squares of two-digit numbers; for example, $43^{2}=(40+3)^{2}=40^{2}+2\times40\times3+3^{2}=1600+240+9=1849$"
Mathematics,,Level 7,,,They solve problems involving squares of numbers and square roots of perfect square numbers.,,,,VC2M7N01,Students learn to:,"describe the relationship between perfect square numbers and square roots, and use squares of numbers and square roots of perfect square numbers to solve problems",This may involve students:,"determining between which 2 consecutive natural numbers the square root of a given number lies; for example, 43 is between the square numbers 36 and 49 so $\sqrt{43}$ is between $\sqrt{36}$ and $\sqrt{49}$ and therefore between 6 and 7"
Mathematics,,Level 7,,,They solve problems involving squares of numbers and square roots of perfect square numbers.,,,,VC2M7N01,Students learn to:,"describe the relationship between perfect square numbers and square roots, and use squares of numbers and square roots of perfect square numbers to solve problems",This may involve students:,"generating a list of perfect square numbers and describing any emerging patterns, for example, the last digit of perfect square numbers, or the difference between consecutive square numbers, and recognising the constant second difference "
Mathematics,,Level 7,,,They solve problems involving squares of numbers and square roots of perfect square numbers.,,,,VC2M7N01,Students learn to:,"describe the relationship between perfect square numbers and square roots, and use squares of numbers and square roots of perfect square numbers to solve problems",This may involve students:,"using the relationship between perfect square numbers and their square roots to determine the perimeter of a square tiled floor using square tiles; for example, an area of floor with 144 square tiles has a perimeter of 48 tile lengths"
Mathematics,,Level 7,,,Students solve problems involving addition and subtraction of integers.,,,,VC2M7N08,Students learn to:,"compare, order and solve problems involving addition and subtraction of integers",This may involve students:,"using less-than and greater-than notation in expressions when comparing and ordering integers; for example, negative 5 is less than positive 2 and can be represented as $(-5)(-6)$"
Mathematics,,Level 7,,,Students solve problems involving addition and subtraction of integers.,,,,VC2M7N08,Students learn to:,"compare, order and solve problems involving addition and subtraction of integers",This may involve students:,"discussing language such as 'addition', 'subtraction', 'magnitude', 'difference' and 'sign' and synonyms of these terms "
Mathematics,,Level 7,,,Students solve problems involving addition and subtraction of integers.,,,,VC2M7N08,Students learn to:,"compare, order and solve problems involving addition and subtraction of integers",This may involve students:,"ordering, adding and subtracting integers using a number line"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N05,Students learn to:,"multiply and divide fractions and decimals using efficient mental and written strategies, and digital tools",This may involve students:,"investigating multiplication of fractions and decimals, using strategies including patterning and multiplication as repeated addition, with both concrete materials and digital tools, and identifying the processes for division as the inverse of multiplication"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"solving addition and subtraction problems involving fractions and decimals; for example, using rectangular arrays with dimensions equal to the denominators, algebra tiles, digital tools or informal jottings"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"choosing an appropriate numerical representation for a problem so that efficient computations can be made, such as 12.5%, $\frac{1}{8}$, 0.125 or $\frac{125}{1000}$"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"developing efficient strategies with appropriate use of the commutative and associative properties, place value, patterning, and multiplication facts to solve multiplication and division problems involving fractions and decimals; for example, using the commutative property to calculate $\frac{2}{3}$ of $\frac{1}{2}$, giving $\frac{1}{2}$ of $\frac{2}{3}=\frac{1}{3}$"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"solving multiplicative problems involving fractions and decimals using fraction walls, rectangular arrays, algebra tiles, calculators or informal jottings "
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"developing efficient strategies with appropriate use of the commutative and associative properties, regrouping or partitioning to solve additive problems involving fractions and decimals"
Mathematics,,Level 7,,,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.",,,,VC2M7N06,Students learn to:,"use the 4 operations with positive rational numbers, including fractions and decimals, to solve problems using efficient mental and written calculation strategies",This may involve students:,"carrying out calculations to solve problems using the representation that makes computations efficient, such as 12.5% of 96 is more efficiently calculated as $\frac{1}{8}$ of 96, including contexts such as comparing land use by calculating the total local municipal area set aside for parkland or manufacturing and retail, the amount of protein in daily food intake across several days, or increases or decreases in energy accounts each account cycle"
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N03,Students learn to:,find equivalent representations of rational numbers and represent positive and negative rational numbers and mixed numbers on a number line,This may involve students:,"investigating equivalence of fractions using common multiples and a fraction wall, diagrams or a number line to show that a fraction such as $\frac{2}{3}$ is equivalent to $\frac{4}{6}$ and $\frac{6}{9}$ and therefore $\frac{2}{3}$ "
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N03,Students learn to:,find equivalent representations of rational numbers and represent positive and negative rational numbers and mixed numbers on a number line,This may involve students:,expressing a fraction in simplest form using common divisors
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N03,Students learn to:,find equivalent representations of rational numbers and represent positive and negative rational numbers and mixed numbers on a number line,This may involve students:,"applying and explaining the equivalence between fraction, decimal and percentage representations of rational numbers, for example, 16%, 0.16, $\frac{16}{100}$ and $\frac{4}{25}$, using manipulatives, number lines or diagrams"
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N03,Students learn to:,find equivalent representations of rational numbers and represent positive and negative rational numbers and mixed numbers on a number line,This may involve students:,"representing positive and negative fractions and mixed numerals on various intervals of the real number line, including intervals that are not symmetrical about zero"
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N04,Students learn to:,round decimals to a given accuracy appropriate to the context and use appropriate rounding and estimation to check the reasonableness of computations,This may involve students:,identifying the interval between a pair of consecutive integers that includes a given rational number
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N04,Students learn to:,round decimals to a given accuracy appropriate to the context and use appropriate rounding and estimation to check the reasonableness of computations,This may involve students:,choosing and applying conventions for rounding correct to a specified number of decimal places based upon the context 
Mathematics,,Level 7,,,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,,,,VC2M7N04,Students learn to:,round decimals to a given accuracy appropriate to the context and use appropriate rounding and estimation to check the reasonableness of computations,This may involve students:,"checking that the accuracy of rounding is suitable for context and purpose; for example, for the amount of paint required or the cost estimate for renovating a house, purchasing 2 litres of paint to paint the bedroom even though 1.89 litres is the exact answer or estimating a renovation budget to the nearest $100"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N07,Students learn to:,"find percentages of quantities and express one quantity as a percentage of another, with and without digital tools",This may involve students:,using authentic problems to express quantities as percentages of other amounts
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N09,Students learn to:,"recognise, represent and solve problems involving ratios",This may involve students:,"using diagrams, physical or virtual materials to represent ratios, recognising that ratios express the quantitative relationship between 2 or more groups; for example, using counters or coloured beads to show the ratios 1:4 and 1:1:2 "
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N09,Students learn to:,"recognise, represent and solve problems involving ratios",This may involve students:,"using fractions to solve ratio problems involving comparison of quantities and considering part-part and part-whole relations; for example, dividing a set into the ratio 1:2 by determining the number of parts as 3 "
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N09,Students learn to:,"recognise, represent and solve problems involving ratios",This may involve students:,"sharing quantities in a given ratio; for example, sharing an amount of money in a given ratio, such as sharing $20 in the ratio 2:3"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N09,Students learn to:,"recognise, represent and solve problems involving ratios",This may involve students:,"applying ratios to realistic and meaningful contexts – for example, mixing 500 millilitres of a liquid with a concentration of 1:4 means $\frac{1}{5}$ concentrate and $\frac{4}{5}$ water so, 0.2 of 500 millilitres is concentrate and 0.8 of 500 millilitres is water – and interpreting results in context"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"modelling additive situations involving positive and negative quantities; for example, a lift travelling up and down floors in a high-rise apartment where the ground floor is interpreted as zero, or in geography when determining altitude above and below sea level"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"modelling contexts involving proportion, such as the proportion of students attending the school disco, proportion of the bottle cost to the recycling refund, proportion of the school site that is green space, 55% of Year 7 students attended the end of term function or 23% of the school population voted 'yes' to a change of school uniform; and interpreting and communicating answers in terms of the context of the situation"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"modelling financial problems involving profit and loss, credits and debits, gains and losses; for example, holding a fundraising sausage sizzle and determining whether the event made a percentage profit or loss "
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,finding the sum of a set of consecutive numbers using a loop structure
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"constructing geometric patterns such as a honeycomb, using dynamic geometry functionality"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7N10,Students learn to:,"use mathematical modelling to solve practical problems involving rational numbers and percentages, including financial contexts such as 'best buys'; formulate problems, choosing representations and efficient calculation strategies, designing algorithms and using digital tools as appropriate; interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,using mathematical modelling to investigate the proportion of land mass/area of Aboriginal Peoples' traditional grain belt compared with Australia's current grain belt
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7M06,Students learn to:,"use mathematical modelling to solve practical problems involving ratios of lengths, areas and volumes; formulate problems, interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"using fractions to model and solve ratio problems involving comparison of quantities, and considering part-part and part-whole relations"
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7M06,Students learn to:,"use mathematical modelling to solve practical problems involving ratios of lengths, areas and volumes; formulate problems, interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"modelling and solving practical problems involving ratios of length, capacity or mass, such as in construction, design, or food or textile production; for example, mixing concrete, the golden ratio in design, mixing a salad dressing "
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7M06,Students learn to:,"use mathematical modelling to solve practical problems involving ratios of lengths, areas and volumes; formulate problems, interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"modelling the situation using manipulatives, diagrams and/or mathematical discussion; for example, mixing primary colours in a variety of ratios to investigate how new colours are created and the strength of those colours "
Mathematics,,Level 7,,,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.",,,,VC2M7M06,Students learn to:,"use mathematical modelling to solve practical problems involving ratios of lengths, areas and volumes; formulate problems, interpret and communicate solutions in terms of the situation, justifying choices made about the representation",This may involve students:,"investigating commercialised substances founded on Aboriginal and/or Torres Strait Islander Peoples' knowledges of substances, including pharmaceuticals and toxins, understanding how ratios are used in their development"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A01,Students learn to:,recognise and use variables to represent everyday formulas algebraically and substitute values into formulas to determine an unknown,This may involve students:,"linking variables to attributes and measures being modelled when using formulas, such as the area of a rectangle is equal to the length × width as $A=l\times w$ or using $p=6g+b$ to describe a total of points expressed as goals (worth 6 points) and behinds (worth one point)"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A01,Students learn to:,recognise and use variables to represent everyday formulas algebraically and substitute values into formulas to determine an unknown,This may involve students:,"interpreting and using formulas obtained from other sources, for example, maximum heart rates and target heart rates for moderate exercise"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A01,Students learn to:,recognise and use variables to represent everyday formulas algebraically and substitute values into formulas to determine an unknown,This may involve students:,"substituting numerical values for variables when using formulas and calculating the value of an unknown in practical situations; for example, calculating weekly wage $W$ given base wage $b$ and overtime hours $h$ at 1.5 times rate $r$, $W=b+1.5\times h\times r$, using values for mass $m$ and volume $v$ to determine density $d$ of a substance where $d=\frac{m}{v}$"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A01,Students learn to:,recognise and use variables to represent everyday formulas algebraically and substitute values into formulas to determine an unknown,This may involve students:,"using everyday formulas and their application to contexts on Country/Place, investigating the relationships between variables"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A02,Students learn to:,"apply the associative, commutative and distributive laws to aid mental and written computation, and formulate algebraic expressions using constants, variables, operations and brackets",This may involve students:,simplifying calculations
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A02,Students learn to:,"apply the associative, commutative and distributive laws to aid mental and written computation, and formulate algebraic expressions using constants, variables, operations and brackets",This may involve students:,forming simple estimates for calculations involving multiple and/or combined operations 
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A02,Students learn to:,"apply the associative, commutative and distributive laws to aid mental and written computation, and formulate algebraic expressions using constants, variables, operations and brackets",This may involve students:,"generalising arithmetic expressions to algebraic expressions involving constants, variables, operations and brackets; for example, $7+7+7=3\times 7$, $x+x+x=3\times x$ noting that $3x$ includes implied multiplication and recognising the difference between $3x+4$ and $3(x+4)$"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A02,Students learn to:,"apply the associative, commutative and distributive laws to aid mental and written computation, and formulate algebraic expressions using constants, variables, operations and brackets",This may involve students:,"formulating algebraic expressions that represent mathematical relationships; for example, translating from words to symbols in 'think of a number' type activities "
